"firstname","firstcategory","secondname","secondcategory","freq"
"bio_endio","Other VFS Functions","blkdev_get","Other VFS Functions","1"
"debugfs_create_file","The debugfs filesystem","debugfs_create_u32","The debugfs filesystem","1"
"d_alloc","The Directory Cache","d_inode","The Directory Cache","1"
"current_time","Inode Handling","inc_nlink","Inode Handling","1"
"blkdev_get","Other VFS Functions","lookup_bdev","Other VFS Functions","1"
"generic_pipe_buf_get","pipes API","pipe_buffer","pipes API","1"
"lookup_one_len","Other VFS Functions","vfs_rename","Other VFS Functions","1"
"bio_endio","Other VFS Functions","bio_put","Other VFS Functions","1"
"current_time","Inode Handling","drop_nlink","Inode Handling","1"
"ilookup","Inode Handling","ilookup5","Inode Handling","1"
"bio_endio","Other VFS Functions","lookup_bdev","Other VFS Functions","1"
"generic_pipe_buf_confirm","pipes API","pipe_buffer","pipes API","1"
"revalidate_disk","Other VFS Functions","seq_lseek","Other VFS Functions","1"
"lookup_one_len","Other VFS Functions","vfs_path_lookup","Other VFS Functions","1"
"path_put","Other VFS Functions","vfs_unlink","Other VFS Functions","1"
"bio_map_kern","Other VFS Functions","bio_put","Other VFS Functions","1"
"debugfs_remove","The debugfs filesystem","debugfs_remove_recursive","The debugfs filesystem","1"
"bio_alloc_bioset","Other VFS Functions","ll_rw_block","Other VFS Functions","1"
"proc_dointvec","The proc filesystem","proc_dostring","The proc filesystem","1"
"deactivate_locked_super","Registration and Superblocks","generic_shutdown_super","Registration and Superblocks","1"
