positive_aop_returns language:c,c++24268
eventfd_ctx_get language:c,c++45415
eventfd_ctx_put language:c,c++176080
eventfd_ctx_remove_wait_queue language:c,c++76500
eventfd_ctx_read language:c,c++43640
eventfd_fget language:c,c++108048
eventfd_ctx_fdget language:c,c++130130
eventfd_ctx_fileget language:c,c++123109
sysfs_create_file_ns language:c,c++16648
sysfs_add_file_to_group language:c,c++131971
sysfs_chmod_file language:c,c++211631
sysfs_remove_file_ns language:c,c++16612
sysfs_remove_file_from_group language:c,c++114163
sysfs_create_bin_file language:c,c++1529388
sysfs_remove_bin_file language:c,c++1307449
sysfs_create_link language:c,c++1454506
sysfs_remove_link language:c,c++1394832
sysfs_rename_link_ns language:c,c++16554
debugfs_lookup language:c,c++2236
debugfs_create_file language:c,c++7775997
debugfs_create_file_unsafe language:c,c++9098
debugfs_create_file_size language:c,c++18062
debugfs_create_dir language:c,c++6190666
debugfs_create_automount language:c,c++10074
debugfs_create_symlink language:c,c++178292
debugfs_remove language:c,c++3834920
debugfs_remove_recursive language:c,c++3217304
debugfs_rename language:c,c++177669
debugfs_initialized language:c,c++134178
debugfs_use_file_start language:c,c++4682
debugfs_use_file_finish language:c,c++4682
debugfs_create_u8 language:c,c++None
debugfs_create_u8 language:c,c++455078
debugfs_create_u16 language:c,c++111286
debugfs_create_u32 language:c,c++981295
debugfs_create_u64 language:c,c++255736
debugfs_create_ulong language:c,c++6865
debugfs_create_x8 language:c,c++118572
debugfs_create_x16 language:c,c++113440
debugfs_create_x32 language:c,c++465461
debugfs_create_x64 language:c,c++79678
debugfs_create_size_t language:c,c++111220
debugfs_create_atomic_t language:c,c++60475
debugfs_create_bool language:c,c++477946
debugfs_create_blob language:c,c++None
debugfs_create_blob language:c,c++None
debugfs_create_blob language:c,c++263780
debugfs_create_u32_array language:c,c++39476
debugfs_print_regs32 language:c,c++39579
debugfs_create_regset32 language:c,c++56663
debugfs_create_devm_seqfile language:c,c++18246
handle_t language:c,c++1728370
journal_t language:c,c++635028
jbd2_inode language:c,c++165984
jbd2_journal_handle language:c,c++43928
journal_s language:c,c++95389
jbd2_journal_force_commit_nested language:c,c++98287
jbd2_journal_force_commit language:c,c++112876
jbd2_journal_init_dev language:c,c++70898
jbd2_journal_init_inode language:c,c++94094
jbd2_journal_update_sb_errno language:c,c++45270
jbd2_journal_load language:c,c++94091
jbd2_journal_destroy language:c,c++94127
jbd2_journal_check_used_features language:c,c++67633
jbd2_journal_check_available_features language:c,c++70900
jbd2_journal_set_features language:c,c++97219
jbd2_journal_flush language:c,c++164236
jbd2_journal_wipe language:c,c++94409
jbd2_journal_abort language:c,c++144116
jbd2_journal_errno language:c,c++94089
jbd2_journal_clear_err language:c,c++94088
jbd2_journal_ack_err language:c,c++70487
jbd2_journal_recover language:c,c++70786
jbd2_journal_skip_recovery language:c,c++70791
jbd2_journal_start language:c,c++129844
jbd2_journal_start_reserved language:c,c++18473
jbd2_journal_extend language:c,c++141006
jbd2__journal_restart language:c,c++41566
jbd2_journal_lock_updates language:c,c++164704
jbd2_journal_unlock_updates language:c,c++164704
jbd2_journal_get_write_access language:c,c++205355
jbd2_journal_get_create_access language:c,c++94334
jbd2_journal_get_undo_access language:c,c++120641
jbd2_journal_set_triggers language:c,c++92690
jbd2_journal_dirty_metadata language:c,c++140559
jbd2_journal_forget language:c,c++144039
jbd2_journal_stop language:c,c++140594
jbd2_journal_try_to_free_buffers language:c,c++135335
jbd2_journal_invalidatepage language:c,c++112111
splice_to_pipe language:c,c++135045
generic_file_splice_read language:c,c++989905
splice_from_pipe_feed language:c,c++59037
splice_from_pipe_next language:c,c++59008
splice_from_pipe_begin language:c,c++59012
splice_from_pipe_end language:c,c++59008
__splice_from_pipe language:c,c++101999
splice_from_pipe language:c,c++70978
iter_file_splice_write language:c,c++97708
generic_splice_sendpage language:c,c++71612
splice_direct_to_actor language:c,c++91093
do_splice_direct language:c,c++76471
pipe_buffer language:c,c++293237
pipe_inode_info language:c,c++681047
pipe_buf_get language:c,c++3378
pipe_buf_release language:c,c++5617
pipe_buf_confirm language:c,c++4502
pipe_buf_steal language:c,c++3367
generic_pipe_buf_steal language:c,c++117453
generic_pipe_buf_get language:c,c++129584
generic_pipe_buf_confirm language:c,c++142965
generic_pipe_buf_release language:c,c++86029
